# Vous pouvez commenter en commençant la ligne par un #
#Vous pouvez laisser des lignes vides
# Le premier nombre de chaque ligne désigne ce à quoi correspond la ligne (un genre de type)
# le nombre d'arguments qui suit dépend du type
# Pour l'instant il y a 2 types :
# Type 0 : Changement instantané de lumière
# Avec pour argument : Type, Temps (ms), les ids des lights, r, g, b, w
#
# Type 1 : Changement de couleur pas instantané
# Avec pour argument : Type, Temps de départ(ms), Temps de fin (ms), ids des lights, r,g,b,w de départ, r,g,b,w de fin
#
# Pour les ids des lights, vous pouvez donner une plage avec 5:10 (de 5 à 10 inclus)
# Ou alors donner des numéros séparés : 5;1;10;3
# Ou mélanger un peut tout : 3:10;15;20:30

# Tout est implémenté dans light_from_file_v2.py
# Les types (0 ou 1) sont implémentés dans le dossier 'data_file_readers



0,0,0:53,0,0,0,255
0,100,0:5,0,0,0,255
0,200,0:5,0,0,0,0
0,300,0:5,0,0,255,0
0,400,0:5,0,0,0,0
0,500,0:5,0,255,0,0
0,600,0:5,0,0,0,0
0,700,0:5,255,0,0,0
0,800,0:5,180,110,10,50
0,900,0:5,50,190,90,100
0,1000,0:5,80,110,220,180

1,1200,1400,10:19,40,10,219,100,100,12,255,0
1,1500,9000,10:40,100,12,255,0,19,40,10,219
